Frequency (Hz)	Level (dB)
6933.691406	-86.853806
6976.757812	-86.791138
7019.824219	-86.786064
7062.890625	-87.060410
7105.957031	-87.357094
7149.023438	-87.463608
7192.089844	-87.515564
7235.156250	-87.673027
7278.222656	-88.026878
7321.289062	-88.169731
7364.355469	-88.409332
7407.421875	-88.649620
7450.488281	-88.537773
7493.554688	-88.549713
7536.621094	-88.720825
7579.687500	-88.797867
7622.753906	-88.957359
7665.820312	-88.859932
7708.886719	-88.665398
7751.953125	-89.284180
7795.019531	-89.773964
7838.085938	-89.805115
7881.152344	-89.672806
7924.218750	-90.118118
7967.285156	-89.974640
8010.351562	-89.958992
8053.417969	-90.078888
8096.484375	-90.112007
8139.550781	-90.383972
8182.617188	-90.387756
8225.683594	-90.771736
8268.750000	-90.902130
8311.816406	-90.860954
8354.882812	-91.110901
8397.949219	-91.382919
8441.015625	-91.003342
8484.082031	-91.113152
8527.148438	-91.265381
8570.214844	-91.398048
8613.281250	-91.573875
8656.347656	-91.720451
8699.414062	-92.335968
8742.480469	-92.542778
8785.546875	-92.544830
8828.613281	-93.012962
8871.679688	-93.200775
8914.746094	-93.091049
8957.812500	-93.018555
9000.878906	-93.275993
9043.945312	-93.955322
9087.011719	-94.067429
9130.078125	-94.195442
9173.144531	-94.409775
9216.210938	-94.323067
9259.277344	-94.103149
9302.343750	-94.412704
9345.410156	-94.869705
9388.476562	-95.265251
9431.542969	-95.522003
9474.609375	-95.746742
9517.675781	-95.972908
9560.742188	-96.218826
9603.808594	-96.425453
9646.875000	-96.916054
9689.941406	-97.398804
9733.007812	-97.267532
9776.074219	-97.351997
9819.140625	-97.764961
9862.207031	-98.006226
9905.273438	-98.169128
9948.339844	-98.550438
9991.406250	-98.936783
10034.472656	-99.219398
10077.539062	-99.388229
10120.605469	-99.320549
10163.671875	-99.561691
10206.738281	-99.765549
10249.804688	-100.008987
10292.871094	-99.799545
10335.937500	-99.829735
10379.003906	-99.914024
10422.070312	-99.967834
10465.136719	-100.333679
10508.203125	-100.104431
10551.269531	-100.189415
10594.335938	-100.356781
10637.402344	-100.241493
10680.468750	-100.005272
10723.535156	-99.896759
10766.601562	-99.788734
10809.667969	-99.801773
10852.734375	-99.752319
10895.800781	-99.707870
10938.867188	-99.572838
10981.933594	-99.253502
11025.000000	-99.354698
